pontuacao	frequencia	media
-7	0.0006	2.1015399999999937
-6	0.0018	2.1015399999999937
-5	0.0058	2.1015399999999937
-4	0.0128	2.1015399999999937
-3	0.0384	2.1015399999999937
-2	0.065	2.1015399999999937
-1	0.1262	2.1015399999999937
0	0.1668	2.1015399999999937
1	0.1308	2.1015399999999937
2	0.1076	2.1015399999999937
3	0.0532	2.1015399999999937
4	0.0338	2.1015399999999937
5	0.0218	2.1015399999999937
6	0.0232	2.1015399999999937
7	0.039	2.1015399999999937
8	0.0466	2.1015399999999937
9	0.0388	2.1015399999999937
10	0.029	2.1015399999999937
11	0.0158	2.1015399999999937
12	0.0066	2.1015399999999937
13	0.0046	2.1015399999999937
14	0.0042	2.1015399999999937
15	0.0064	2.1015399999999937
16	0.0064	2.1015399999999937
17	0.0058	2.1015399999999937
18	0.004	2.1015399999999937
19	0.0014	2.1015399999999937
20	0.0008	2.1015399999999937
21	0.0004	2.1015399999999937
22	0.0	2.1015399999999937
23	0.0004	2.1015399999999937
24	0.0004	2.1015399999999937
25	0.001	2.1015399999999937
26	0.0004	2.1015399999999937
