pontuacao	frequencia	media
-3	0.0002	3.6355199999999908
-2	0.0108	3.6355199999999908
-1	0.0668	3.6355199999999908
0	0.1168	3.6355199999999908
1	0.1296	3.6355199999999908
2	0.1096	3.6355199999999908
3	0.0814	3.6355199999999908
4	0.0758	3.6355199999999908
5	0.0836	3.6355199999999908
6	0.0772	3.6355199999999908
7	0.073	3.6355199999999908
8	0.0434	3.6355199999999908
9	0.0318	3.6355199999999908
10	0.0252	3.6355199999999908
11	0.019	3.6355199999999908
12	0.015	3.6355199999999908
13	0.0132	3.6355199999999908
14	0.0076	3.6355199999999908
15	0.0038	3.6355199999999908
16	0.0058	3.6355199999999908
17	0.0044	3.6355199999999908
18	0.0016	3.6355199999999908
19	0.0014	3.6355199999999908
20	0.001	3.6355199999999908
21	0.0008	3.6355199999999908
22	0.0004	3.6355199999999908
23	0.0004	3.6355199999999908
