index	Jogador	Time	Posicao	preco_cartoleta
0	Henrique Dourado	Fluminense	Atacante	25.809999999998407
1	Luan	Grêmio	Atacante	24.800000000002004
2	Diego	Flamengo	Meia	22.830000000001483
3	Nino Paraíba	Ponte Preta	Lateral	22.089999999997584
4	Lucca	Ponte Preta	Atacante	21.259999999998403
5	Vanderlei	Santos	Goleiro	21.130000000001058
6	Gatito Fernández	Botafogo	Goleiro	20.160000000002313
7	Zé Rafael 	Bahia	Meia	19.559999999998645
8	Borja	Palmeiras	Atacante	18.860000000000518
9	Ramiro	Grêmio	Meia	18.449999999998305
10	Thiago Neves	Cruzeiro	Meia	18.2799999999991
11	Dudu	Palmeiras	Atacante	17.50999999999918
12	Diego Souza	Sport	Meia	17.13000000000022
13	Fernando Prass	Palmeiras	Goleiro	16.960000000000868
14	Douglas	Vasco	Meia	16.58999999999794
15	Clayson	Corinthians	Atacante	16.570000000001247
16	Paolo Guerrero	Flamengo	Atacante	16.230000000000356
17	Yerry Mina	Palmeiras	Zagueiro	15.960000000000521
18	Sornoza	Fluminense	Meia	15.809999999998874
19	Fred	Atlético-MG	Atacante	15.80000000000149
20	Régis	Bahia	Meia	15.669999999998636
21	Jean	Palmeiras	Lateral	15.589999999998033
22	Luis Fabiano	Vasco	Atacante	15.160000000001924
23	Lucas Pratto	São Paulo	Atacante	14.970000000000846
24	Alisson	Cruzeiro	Meia	14.6399999999995
25	Everton	Flamengo	Meia	14.5
26	Rodriguinho	Corinthians	Meia	14.489999999999899
27	Wilson	Coritiba	Goleiro	14.419999999998668
28	Robinho	Atlético-MG	Atacante	14.099999999999456
29	Edson	Bahia	Meia	14.089999999998195
30	Henrique Almeida	Coritiba	Atacante	14.089999999998195
31	Pedro Geromel	Grêmio	Zagueiro	13.870000000000823
32	Bruno Henrique	Santos	Atacante	13.62999999999908
33	Wendel	Fluminense	Meia	13.599999999999223
34	Jucilei	São Paulo	Meia	13.580000000001307
35	Ángel Romero	Corinthians	Atacante	13.559999999999075
36	Bruno Silva	Botafogo	Meia	13.269999999998655
37	Leandro Damião	Flamengo	Atacante	13.220000000000804
38	Fagner	Corinthians	Lateral	13.190000000000888
39	Victor Luis	Botafogo	Lateral	13.120000000001138
40	Tomas Bastos	Coritiba	Meia	12.970000000000798
41	Jô	Corinthians	Atacante	12.919999999998714
42	Sidcley	Atlético-PR	Lateral	12.830000000001283
43	Ábila	Cruzeiro	Atacante	12.660000000001615
44	Nenê	Vasco	Meia	12.610000000000488
45	Júnior Tavares	São Paulo	Lateral	12.540000000000754
46	Matheus Savio	Flamengo	Meia	12.529999999999216
47	Aranha	Ponte Preta	Goleiro	12.360000000000486
48	Fernandinho	Grêmio	Atacante	11.870000000000989
49	Kadu	Ponte Preta	Zagueiro	11.849999999999019
50	Elias	Atlético-MG	Meia	11.849999999999019
51	David Braz	Santos	Zagueiro	11.830000000001244
52	Léo Moura	Grêmio	Lateral	11.809999999999281
53	Igor Rabello	Botafogo	Zagueiro	11.75
54	Reinaldo	Chapecoense	Lateral	11.720000000000757
55	Fábio	Cruzeiro	Goleiro	11.660000000001453
56	Marllon	Ponte Preta	Zagueiro	11.510000000000476
57	Zeca	Santos	Lateral	11.449999999999049
58	Alejandro Guerra	Palmeiras	Meia	11.449999999999049
59	Geferson	Vitória	Lateral	11.419999999998774
60	Ricardo Oliveira	Santos	Atacante	11.400000000000963
61	Gustavo Scarpa	Fluminense	Meia	11.389999999999523
62	Bruno Cortez	Grêmio	Lateral	11.360000000000477
63	Cássio	Corinthians	Goleiro	11.33000000000122
64	Marquinhos Gabriel	Corinthians	Meia	11.25
65	Gilberto 	Vasco	Lateral	11.160000000001364
66	Camilo	Botafogo	Meia	11.069999999999737
67	Victor Ferraz	Santos	Lateral	11.05999999999939
68	Richarlison 	Fluminense	Atacante	11.040000000000738
69	Juninho	Bahia	Meia	10.949999999999138
70	Fernando Miguel	Vitória	Goleiro	10.930000000000263
71	Diogo Barbosa	Cruzeiro	Lateral	10.910000000001315
72	Kannemann	Grêmio	Zagueiro	10.819999999999737
73	Allione	Bahia	Meia	10.819999999999737
74	Edílson	Grêmio	Lateral	10.769999999998976
75	Pablo	Corinthians	Zagueiro	10.72000000000072
76	João Lucas	Ponte Preta	Lateral	10.699999999999186
77	Arthur 	Chapecoense	Atacante	10.669999999998812
78	Jean	Vasco	Meia	10.63999999999953
79	Orejuela	Fluminense	Meia	10.569999999999737
80	Rafael Sobis	Cruzeiro	Atacante	10.529999999999287
81	Renan Ribeiro	São Paulo	Goleiro	10.510000000000327
82	Rithely	Sport	Meia	10.510000000000327
83	Romulo	Avaí	Atacante	10.5
84	Kleber	Coritiba	Atacante	10.489999999999677
85	Pedro Rocha	Grêmio	Atacante	10.449999999999235
86	Wellington Paulista	Chapecoense	Atacante	10.419999999998824
87	Capa	Avaí	Lateral	10.389999999999533
88	Guilherme	Atlético-PR	Meia	10.33000000000117
89	Réver	Flamengo	Zagueiro	10.309999999999516
90	Roger	Botafogo	Atacante	10.190000000000463
91	Lucas Barrios	Grêmio	Atacante	10.0
92	Otávio 	Atlético-PR	Meia	10.0
93	Gabriel	Atlético-MG	Zagueiro	9.989999999999762
94	Marcelo Oliveira	Grêmio	Lateral	9.970000000000686
